time,temp
2026-01-19T00:00,11.7
2026-01-19T01:00,11.5
2026-01-19T02:00,11.4
2026-01-19T03:00,12.0
2026-01-19T04:00,14.6
2026-01-19T05:00,17.3
2026-01-19T06:00,19.6
2026-01-19T07:00,21.4
2026-01-19T08:00,22.7
2026-01-19T09:00,23.4
2026-01-19T10:00,23.5
2026-01-19T11:00,22.9
2026-01-19T12:00,21.4
2026-01-19T13:00,19.0
2026-01-19T14:00,17.6
2026-01-19T15:00,17.0
2026-01-19T16:00,16.5
2026-01-19T17:00,15.8
2026-01-19T18:00,15.3
2026-01-19T19:00,14.4
2026-01-19T20:00,14.1
2026-01-19T21:00,13.6
2026-01-19T22:00,13.1
2026-01-19T23:00,12.7
